Timestamp,Camera ID,Vehicle ID,Event Type,Location,Velocity,Confidence,Before Image,After Image,Evidence Path
2025-07-12 11:02:37,Camera1,0,unloading,"(np.float32(585.8086), np.float32(300.07153))",0.00,0.00,evidence\event_20250712_110237_0\before.jpg,evidence\event_20250712_110237_0\after.jpg,evidence\event_20250712_110237_0\clip.mp4
2025-07-12 11:02:37,Camera1,0,hidden_disposal,"(np.float32(585.8086), np.float32(300.07153))",0.00,0.00,evidence\event_20250712_110237_0\before.jpg,evidence\event_20250712_110237_0\after.jpg,evidence\event_20250712_110237_0\clip.mp4
2025-07-12 11:02:37,Camera1,1,unloading,"(np.float32(444.60272), np.float32(166.1436))",0.00,0.00,evidence\event_20250712_110237_1\before.jpg,evidence\event_20250712_110237_1\after.jpg,evidence\event_20250712_110237_1\clip.mp4
2025-07-12 11:02:37,Camera1,1,hidden_disposal,"(np.float32(444.60272), np.float32(166.1436))",0.00,0.00,evidence\event_20250712_110237_1\before.jpg,evidence\event_20250712_110237_1\after.jpg,evidence\event_20250712_110237_1\clip.mp4
2025-07-12 11:02:40,Camera1,1,hidden_disposal,"(np.float32(445.70557), np.float32(170.84012))",0.95,0.00,evidence\event_20250712_110240_1\before.jpg,evidence\event_20250712_110240_1\after.jpg,evidence\event_20250712_110240_1\clip.mp4
2025-07-12 11:02:43,Camera1,0,hidden_disposal,"(np.float32(587.1405), np.float32(325.57867))",0.07,0.00,evidence\event_20250712_110243_0\before.jpg,evidence\event_20250712_110243_0\after.jpg,evidence\event_20250712_110243_0\clip.mp4
2025-07-12 11:02:43,Camera1,1,hidden_disposal,"(np.float32(445.899), np.float32(168.74498))",0.04,0.00,evidence\event_20250712_110243_1\before.jpg,evidence\event_20250712_110243_1\after.jpg,evidence\event_20250712_110243_1\clip.mp4
2025-07-12 11:02:51,Camera1,0,hidden_disposal,"(np.float32(595.08545), np.float32(345.64276))",0.02,0.00,evidence\event_20250712_110251_0\before.jpg,evidence\event_20250712_110251_0\after.jpg,evidence\event_20250712_110251_0\clip.mp4
2025-07-12 11:02:51,Camera1,1,hidden_disposal,"(np.float32(445.5864), np.float32(161.9953))",0.01,0.00,evidence\event_20250712_110251_1\before.jpg,evidence\event_20250712_110251_1\after.jpg,evidence\event_20250712_110251_1\clip.mp4
2025-07-12 11:02:59,Camera1,0,hidden_disposal,"(np.float32(604.6731), np.float32(367.5099))",0.03,0.00,evidence\event_20250712_110259_0\before.jpg,evidence\event_20250712_110259_0\after.jpg,evidence\event_20250712_110259_0\clip.mp4
2025-07-12 11:02:59,Camera1,1,hidden_disposal,"(np.float32(446.10767), np.float32(156.38016))",0.01,0.00,evidence\event_20250712_110259_1\before.jpg,evidence\event_20250712_110259_1\after.jpg,evidence\event_20250712_110259_1\clip.mp4
2025-07-12 11:03:00,Camera1,1,hidden_disposal,"(np.float32(446.44), np.float32(155.76834))",0.97,0.00,evidence\event_20250712_110300_1\before.jpg,evidence\event_20250712_110300_1\after.jpg,evidence\event_20250712_110300_1\clip.mp4
