Timestamp,Camera ID,Vehicle ID,Event Type,Location,Velocity,Evidence
2025-04-24 23:23:11,Camera1,25,hidden_disposal,"(416.24200439453125, 130.7054901123047)",0.5884338,Evidence generation failed
2025-04-24 23:23:12,Camera1,25,hidden_disposal,"(417.30523681640625, 130.73423767089844)",0.31235185,Evidence generation failed
2025-04-24 23:23:14,Camera1,25,hidden_disposal,"(416.6627502441406, 131.24391174316406)",0.43702653,Evidence generation failed
2025-04-24 23:23:14,Camera1,25,hidden_disposal,"(417.3298645019531, 131.2087860107422)",0.07111921,Evidence generation failed
2025-04-24 23:23:15,Camera1,25,hidden_disposal,"(417.1256103515625, 130.90487670898438)",0.9154747,Evidence generation failed
2025-04-24 23:23:16,Camera1,25,hidden_disposal,"(417.1246032714844, 130.90431213378906)",2.4321113e-05,Evidence generation failed
2025-04-24 23:23:16,Camera1,25,hidden_disposal,"(416.8436279296875, 131.2593994140625)",0.50570947,Evidence generation failed
2025-04-24 23:23:17,Camera1,25,hidden_disposal,"(416.298828125, 131.2598876953125)",0.20245449,Evidence generation failed
2025-04-24 23:23:18,Camera1,25,hidden_disposal,"(416.71697998046875, 131.26333618164062)",0.037184276,Evidence generation failed
2025-04-24 23:23:19,Camera1,25,hidden_disposal,"(416.1009826660156, 131.13438415527344)",0.25370398,Evidence generation failed
2025-04-24 23:23:19,Camera1,25,hidden_disposal,"(416.0701904296875, 131.1664276123047)",0.14977233,Evidence generation failed
2025-04-24 23:23:20,Camera1,25,hidden_disposal,"(416.16241455078125, 131.31918334960938)",0.15878825,Evidence generation failed
2025-04-24 23:23:21,Camera1,25,hidden_disposal,"(416.393310546875, 131.3284454345703)",0.12746006,Evidence generation failed
2025-04-24 23:23:21,Camera1,25,hidden_disposal,"(416.1233215332031, 131.2813262939453)",0.05995415,Evidence generation failed
2025-04-24 23:23:22,Camera1,25,hidden_disposal,"(416.0701904296875, 131.28140258789062)",0.028329648,Evidence generation failed
2025-04-24 23:23:23,Camera1,25,hidden_disposal,"(416.1443176269531, 131.2913055419922)",0.5727575,Evidence generation failed
2025-04-24 23:23:24,Camera1,25,hidden_disposal,"(416.2112731933594, 131.21743774414062)",0.1293466,Evidence generation failed
2025-04-24 23:23:24,Camera1,25,hidden_disposal,"(415.65423583984375, 131.6097869873047)",0.4576602,Evidence generation failed
2025-04-24 23:23:25,Camera1,25,hidden_disposal,"(415.70111083984375, 131.30859375)",0.3449219,Evidence generation failed
2025-04-24 23:23:26,Camera1,25,hidden_disposal,"(415.7151794433594, 131.30874633789062)",0.0015666219,Evidence generation failed
2025-04-24 23:23:26,Camera1,25,hidden_disposal,"(415.69873046875, 130.9492950439453)",0.52614224,Evidence generation failed
2025-04-24 23:23:27,Camera1,25,hidden_disposal,"(415.6558532714844, 131.14553833007812)",0.62175834,Evidence generation failed
2025-04-24 23:23:28,Camera1,25,hidden_disposal,"(415.4886474609375, 131.36544799804688)",0.48071477,Evidence generation failed
2025-04-24 23:23:29,Camera1,25,hidden_disposal,"(415.602783203125, 131.4837646484375)",0.3060021,Evidence generation failed
2025-04-24 23:23:29,Camera1,25,hidden_disposal,"(415.66497802734375, 131.34942626953125)",0.08778519,Evidence generation failed
2025-04-24 23:23:31,Camera1,25,hidden_disposal,"(415.41741943359375, 130.75936889648438)",0.2946842,Evidence generation failed
2025-04-24 23:23:31,Camera1,25,hidden_disposal,"(415.1805114746094, 131.1157989501953)",0.5681276,Evidence generation failed
2025-04-24 23:23:32,Camera1,25,hidden_disposal,"(415.1619873046875, 131.0532684326172)",0.11528903,Evidence generation failed
2025-04-24 23:23:33,Camera1,25,hidden_disposal,"(415.195068359375, 131.51077270507812)",0.725707,Evidence generation failed
2025-04-24 23:23:33,Camera1,25,hidden_disposal,"(414.92486572265625, 131.05032348632812)",0.40028328,Evidence generation failed
2025-04-24 23:23:34,Camera1,25,hidden_disposal,"(414.2203369140625, 130.583251953125)",0.401749,Evidence generation failed
2025-04-24 23:23:35,Camera1,25,hidden_disposal,"(413.7891540527344, 130.99441528320312)",0.47373083,Evidence generation failed
2025-04-24 23:23:35,Camera1,25,hidden_disposal,"(413.9031982421875, 130.986572265625)",0.00988058,Evidence generation failed
2025-04-24 23:23:36,Camera1,25,hidden_disposal,"(413.92218017578125, 130.81190490722656)",0.3504356,Evidence generation failed
2025-04-24 23:23:37,Camera1,25,hidden_disposal,"(414.176513671875, 130.88284301757812)",0.11155378,Evidence generation failed
2025-04-24 23:23:37,Camera1,25,hidden_disposal,"(413.0909118652344, 130.80255126953125)",0.22467451,Evidence generation failed
2025-04-24 23:23:38,Camera1,25,hidden_disposal,"(413.25286865234375, 130.8787078857422)",0.301353,Evidence generation failed
2025-04-24 23:23:38,Camera1,25,hidden_disposal,"(413.3275146484375, 130.87811279296875)",0.020762453,Evidence generation failed
2025-04-24 23:23:39,Camera1,25,hidden_disposal,"(413.0423583984375, 131.0098876953125)",0.23790263,Evidence generation failed
2025-04-24 23:23:40,Camera1,25,hidden_disposal,"(415.3985595703125, 131.0572967529297)",0.3329031,Evidence generation failed
2025-04-24 23:23:40,Camera1,25,hidden_disposal,"(415.652587890625, 130.96595764160156)",0.25141996,Evidence generation failed
2025-04-24 23:23:41,Camera1,25,hidden_disposal,"(415.0885009765625, 130.77670288085938)",0.07185378,Evidence generation failed
2025-04-24 23:23:41,Camera1,25,hidden_disposal,"(415.0826416015625, 130.7724609375)",3.6044956e-05,Evidence generation failed
2025-04-24 23:23:42,Camera1,25,hidden_disposal,"(415.3692626953125, 130.67913818359375)",0.6220639,Evidence generation failed
2025-04-24 23:23:43,Camera1,25,hidden_disposal,"(415.37359619140625, 130.6782684326172)",0.03128043,Evidence generation failed
2025-04-24 23:23:43,Camera1,25,hidden_disposal,"(415.42193603515625, 130.69432067871094)",0.023099229,Evidence generation failed
2025-04-24 23:23:44,Camera1,25,hidden_disposal,"(415.236328125, 130.95596313476562)",0.48017326,Evidence generation failed
2025-04-24 23:23:45,Camera1,25,hidden_disposal,"(415.2532653808594, 130.96441650390625)",0.077092,Evidence generation failed
2025-04-24 23:23:45,Camera1,25,hidden_disposal,"(415.2511291503906, 130.9589385986328)",3.205529e-05,Evidence generation failed
2025-04-24 23:23:46,Camera1,25,unloading,"(414.6199951171875, 131.49156188964844)",0.82599235,Evidence generation failed
2025-04-24 23:23:46,Camera1,25,hidden_disposal,"(414.6199951171875, 131.49156188964844)",0.82599235,Evidence generation failed
2025-04-24 23:23:46,Camera1,25,hidden_disposal,"(415.54168701171875, 131.26510620117188)",0.37835425,Evidence generation failed
2025-04-24 23:23:47,Camera1,25,hidden_disposal,"(415.58636474609375, 130.9830322265625)",0.5530633,Evidence generation failed
2025-04-24 23:23:48,Camera1,25,hidden_disposal,"(415.502685546875, 130.91366577148438)",0.015265609,Evidence generation failed
2025-04-24 23:23:48,Camera1,25,hidden_disposal,"(415.5833740234375, 130.9729461669922)",0.011973006,Evidence generation failed
2025-04-24 23:23:49,Camera1,25,hidden_disposal,"(415.4942932128906, 131.3847198486328)",0.7013317,Evidence generation failed
2025-04-24 23:23:50,Camera1,25,hidden_disposal,"(415.7177429199219, 131.30160522460938)",0.0507467,Evidence generation failed
2025-04-24 23:23:50,Camera1,25,hidden_disposal,"(415.7378845214844, 131.3324432373047)",0.014568135,Evidence generation failed
2025-04-24 23:23:51,Camera1,25,hidden_disposal,"(415.7558898925781, 131.33694458007812)",0.0048877606,Evidence generation failed
2025-04-24 23:23:52,Camera1,25,hidden_disposal,"(415.55267333984375, 131.08511352539062)",0.11273675,Evidence generation failed
2025-04-24 23:23:52,Camera1,25,hidden_disposal,"(415.78973388671875, 130.91090393066406)",0.53959244,Evidence generation failed
2025-04-24 23:23:53,Camera1,25,hidden_disposal,"(415.6605224609375, 131.01133728027344)",0.07508556,Evidence generation failed
2025-04-24 23:23:54,Camera1,25,hidden_disposal,"(415.625244140625, 130.91651916503906)",0.10828358,Evidence generation failed
2025-04-24 23:23:54,Camera1,25,hidden_disposal,"(415.6262512207031, 130.992431640625)",0.09264109,Evidence generation failed
